person,artist
24557,246
26837,83
24419,60
28820,294
26398,171
25316,215
26927,160
29013,95
24260,127
25409,17
24888,23
27129,177
25251,69
24743,8
27426,293
29000,274
26967,91
29492,267
27066,46
29722,233
26120,285
27014,72
27811,85
27736,36
25679,6
25057,219
27320,176
25609,72
24551,277
28921,106
26399,231
29477,260
24529,4
24129,182
28861,279
25874,68
28379,216
26048,141
28764,133
28149,160
29618,178
26020,105
27961,227
28085,245
24356,277
24103,193
29918,215
29006,98
26513,100
27075,182
29093,228
24937,244
24582,226
27662,107
27629,95
27984,59
24110,95
25596,57
28574,224
29540,65
28238,70
25374,92
27866,244
29055,69
26076,61
27090,49
29899,176
28812,208
29695,68
24141,274
26310,238
25509,234
25305,120
28975,171
29960,239
25650,189
27642,289
25670,249
24920,247
29361,70
25060,172
27353,128
27204,66
29166,198
28813,40
24385,282
26545,100
25010,17
25322,96
25794,131
24104,97
24792,292
28739,193
24317,150
27483,8
29512,216
25909,291
27836,71
29066,251
27549,160
24155,298
25011,255
28759,232
28943,193
29236,63
24922,106
26538,107
26652,284
26411,287
26628,229
28250,108
24065,101
29093,56
28951,271
25162,299
26431,128
28154,57
26485,24
25999,22
29183,280
28734,212
28019,259
26247,18
29283,83
28418,182
29277,290
29369,21
24363,136
29586,137
27402,185
26785,243
24031,207
29296,185
25680,136
28009,108
28099,26
26968,258
25449,282
24337,221
25418,48
29985,41
28212,76
28062,300
24389,188
28655,22
25832,244
28781,128
27110,262
28125,135
25642,49
24854,119
25464,266
29855,190
28954,221
25853,73
26502,73
29167,284
29533,182
24491,249
26104,280
24169,103
27077,86
26860,185
24075,33
26536,199
25617,295
24096,243
24272,4
27304,83
28952,134
24202,58
28089,219
24330,45
24097,250
28892,251
28887,196
26761,177
25558,254
25314,207
29210,6
28808,180
26621,7
25929,218
29625,256
28102,204
26466,243
28007,138
26446,173
29378,121
25779,3
24524,41
24458,279
25295,184
27920,118
24735,149
25033,245
24401,102
26832,272
27351,214
25323,56
27545,171
29353,62
24195,252
27210,30
24993,111
29668,147
24557,76
26723,121
26157,32
29690,127
27389,211
24349,111
28643,261
27475,19
29918,295
24306,172
25963,281
24173,213
25765,189
28636,247
27850,7
27094,71
27306,25
29459,240
29408,45
24405,83
26594,167
29330,235
27288,35
25485,202
26449,206
24613,9
26454,75
29648,254
25283,117
24667,257
24846,232
27888,45
29112,143
28133,280
27834,207
25262,244
29207,53
27870,256
27620,278
29436,171
28447,165
26039,156
24011,269
28067,280
26955,33
27001,53
26140,116
25395,192
24539,15
29507,249
28310,49
26205,263
29282,3
28681,270
25243,35
28254,48
26215,156
29437,242
24544,91
26380,207
29745,185
24574,104
27460,137
27300,11
29478,138
27148,281
29903,20
26505,25
27001,29
28183,219
27620,300
27904,167
26731,73
26035,159
26610,279
29053,288
24830,67
24771,264
29460,85
25766,54
27451,258
26359,67
25587,171
27487,129
29667,72
29242,105
25338,142
24558,158
28953,131
29880,119
24345,9
25271,232
24661,237
27992,51
29002,199
29823,233
25573,280
29484,44
27361,119
25440,68
25166,150
29629,29
26035,62
27448,230
24885,226
26762,270
28323,71
27588,288
25799,234
26485,290
25241,259
24638,204
29034,284
28615,165
29281,172
24142,196
27351,216
29080,159
25644,44
24782,290
27603,88
25171,83
25701,47
29095,55
24940,101
26531,56
28842,172
24039,89
26576,182
25806,172
26029,255
28829,17
29687,96
25187,104
29915,118
26390,115
28299,280
24725,145
27342,52
25845,219
26341,210
28737,205
27506,88
27672,105
24439,287
27040,6
29943,236
26742,173
29565,141
29299,150
28996,233
24144,159
27772,11
27161,52
25660,160
26898,158
29660,278
26332,173
29461,209
24285,73
27803,55
29977,220
25550,198
26830,54
28053,230
27674,14
24204,119
29806,101
24182,119
26444,242
25608,238
27040,42
26831,23
26084,108
26070,298
24416,227
25084,66
27379,217
28010,273
28596,142
25686,124
28251,255
24640,286
25952,278
29518,289
29195,36
27701,15
27845,59
26434,259
25534,192
24844,167
25481,97
27405,35
28667,298
25670,96
26046,297
24055,83
27271,130
27298,87
29336,138
28472,3
26514,276
29067,77
25945,260
26834,58
25821,48
24097,270
25205,12
25559,48
24060,78
24943,234
29152,68
26194,156
29048,198
28564,272
27007,44
24644,298
29827,282
27086,112
26979,290
27053,222
28620,289
29214,225
27711,285
27814,32
27790,266
26433,108
28310,294
24711,15
28880,265
26384,236
24579,130
28862,99
26292,98
27956,185
29681,37
27273,86
29602,31
28783,2
27058,142
25556,290
29199,1
24809,147
28528,17
25607,154
27387,170
29980,296
29489,199
28147,172
26113,80
27667,10
24647,207
29268,119
24721,248
26198,210
26309,242
24313,106
28733,28
27961,12
28632,278
29023,24
28537,76
27710,175
29179,257
28341,72
27280,255
28634,210
26417,98
24584,252
28781,154
26987,191
25961,291
24821,25
24669,68
29152,190
28092,126
27807,213
28836,277
27596,96
25005,294
29541,244
26086,4
26696,227
27553,64
29874,243
25556,71
25910,133
26182,227
24006,132
27629,107
25145,278
29327,216
28323,250
27993,93
27205,93
27536,181
27881,125
25107,28
26379,141
24836,88
29039,45
24305,152
25113,144
27846,54
29126,194
24723,134
29325,196
24772,291
24453,182
29792,125
28539,101
28117,271
25355,48
28054,216
28931,24
26347,286
25453,155
26826,107
26801,178
29788,125
26477,132
25746,214
24567,82
26137,125
26796,45
24815,208
24351,300
24253,151
24973,55
26141,221
26362,263
29956,258
26085,139
24838,165
26785,282
26921,197
24530,195
25833,293
25243,99
25881,39
27910,181
29701,137
29029,279
24389,219
26195,73
28128,295
25343,288
26949,125
24717,39
28729,173
27574,167
29940,295
26136,120
29708,94
26465,26
26261,184
25199,65
25035,105
28803,42
29152,240
28331,87
25877,244
27693,290
29299,130
24851,9
25829,55
27669,247
29577,218
26829,119
29274,245
26547,220
24380,182
27343,128
28637,212
24534,145
26700,264
26273,5
27454,194
26916,205
29454,65
25568,22
27140,263
26837,165
24121,276
24678,269
24492,52
25274,53
28870,135
29208,56
25077,14
29447,47
29193,29
28275,156
26312,145
29937,189
26306,177
24586,228
24175,56
28887,182
24293,250
25796,27
29300,289
29299,125
26123,83
28047,224
24355,37
28442,283
29197,259
24030,255
27156,33
24940,165
26356,90
29248,22
29209,35
25639,148
29724,126
28593,300
25459,295
29583,175
27706,149
26821,83
27126,183
28167,102
26190,92
25009,242
26636,55
28127,7
28631,32
25676,80
26294,156
26582,175
26280,159
25604,153
28001,290
27542,146
24723,17
24301,44
27371,50
28189,179
29749,268
25368,182
24221,9
24135,272
25094,266
27790,189
24090,101
28682,292
26850,64
29834,53
24255,71
27063,9
24849,231
27914,280
28508,141
24170,12
29750,31
29804,160
28381,196
24087,264
26805,94
24687,195
24215,222
26885,216
25641,12
27639,236
27754,44
26662,260
29649,59
25872,196
27114,24
25883,270
26285,130
25732,97
27695,187
26628,132
28241,146
27338,92
24886,234
29212,128
25828,81
28918,20
29623,128
26053,117
24388,60
29793,269
25432,29
27498,49
24041,289
29092,75
26938,178
28028,110
28753,63
25795,24
25929,11
26132,189
29471,131
29917,29
29298,188
28685,289
29312,175
24325,253
28246,254
27036,136
28011,272
27464,201
29924,280
27232,69
26525,136
29854,110
25171,216
28248,198
26705,24
25899,202
24653,70
26016,296
25711,132
24644,263
24901,155
28126,80
28190,204
27334,169
26985,104
24746,286
26696,172
24040,188
29287,239
24782,59
26150,86
29504,237
24080,190
26489,213
25446,9
24909,292
25629,39
27142,96
27791,97
26908,183
24872,240
27813,276
26494,198
29076,2
24262,26
28277,193
27221,140
29212,126
28166,39
29696,55
28163,216
27890,49
27678,10
