person,artist
22547,161
19359,56
13279,122
14411,109
2742,208
11927,102
22282,41
12316,52
18360,45
12403,90
23946,150
5938,104
16647,112
12866,270
18843,99
3390,279
15629,204
7312,252
9484,244
3960,181
22151,205
19428,245
20706,225
9146,248
10886,96
8317,183
8058,272
10413,233
22059,231
8225,27
1188,14
372,8
19694,177
183,233
9998,123
7663,292
7533,15
12172,221
16274,108
2898,137
12977,275
2379,179
19990,145
13881,243
15022,68
12969,40
8612,83
15172,189
1978,76
16557,53
21472,203
5931,244
21656,248
17611,243
4910,80
17958,93
21042,122
12354,296
20902,200
15060,63
1542,217
23824,286
22096,132
1933,206
21501,36
22273,148
7865,142
4016,96
6556,240
6181,16
10054,62
18533,177
22884,44
53,44
20245,32
22262,126
16231,129
16476,165
7826,202
5823,156
23871,181
18790,181
15161,66
10713,111
14021,57
3055,164
4557,114
23450,110
432,267
18751,290
23522,125
1641,97
458,65
3489,225
8845,161
19500,12
9484,92
17881,105
21134,240
11428,61
14906,44
10245,41
20731,178
18690,3
22734,11
19161,118
12113,231
17952,198
6464,241
8481,21
22526,84
11381,15
2512,208
11001,261
10480,1
9223,163
19591,33
2219,67
16520,211
116,79
20556,206
15194,291
10558,295
793,216
9001,70
6102,295
20350,5
8384,108
23655,2
20002,201
14549,124
5517,134
17660,178
9526,28
13422,276
4518,173
1046,255
4560,250
2909,297
8852,165
5384,208
6371,33
6857,299
12830,69
897,151
9198,81
8047,145
14013,26
1961,9
14088,193
18353,103
18631,151
13169,236
3092,270
2431,207
7467,250
17770,207
7439,286
14864,212
20794,282
14435,257
19064,228
10421,128
2579,121
16365,238
6845,269
6711,295
2639,171
17863,181
22168,58
2226,273
21450,101
15365,53
18390,199
7024,115
22314,63
8905,94
14419,100
16700,129
1999,226
21432,3
20675,178
20271,96
5726,246
21461,58
16426,109
20618,185
7310,169
14329,145
17044,261
4925,77
17611,21
12165,44
21449,265
5171,243
7079,241
5567,29
8233,271
5140,218
11126,296
2812,250
10077,171
16913,197
15472,234
9830,139
13845,5
10813,144
165,48
7557,86
6559,183
1737,254
19928,223
2298,184
10068,161
6253,276
13578,36
3287,44
18682,64
19814,66
12204,99
3825,47
6570,153
15730,164
9720,105
18248,130
9276,151
763,144
15491,11
3589,152
22493,183
9645,132
12192,274
3585,33
20254,268
1048,164
12762,277
13571,294
11653,141
19988,25
23958,141
2652,202
3219,2
11728,107
11214,198
8615,224
8681,128
13972,48
17853,186
15228,229
23255,229
394,107
16552,283
256,270
20445,279
9950,76
18978,137
19608,82
10850,97
4542,110
736,210
21167,110
8186,250
1023,180
17305,299
6393,20
7687,182
2780,114
2011,52
12822,263
869,106
12865,287
2906,293
18093,120
20702,148
14595,129
21319,176
5757,28
5434,253
10532,2
11823,122
15897,269
12292,269
16416,18
11657,19
13731,142
19976,23
2131,55
2301,94
10032,114
19605,200
9467,14
16640,241
18043,40
914,159
17916,35
4166,252
6430,298
21330,204
22307,244
5333,109
16115,186
7751,3
17466,75
15061,262
12933,52
10798,219
15930,245
11608,110
16248,139
20771,286
1673,281
2267,30
8969,20
16896,153
8420,62
17758,222
11817,23
12173,50
15574,211
16372,275
9135,125
3334,159
4366,124
16149,78
8103,119
